Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds
SP1,12/9/2023,17:30,Villarreal,Sociedad,0,3,A,0,3,A,20,16,4,5,10,22,5,3,2,1,0,0
SP1,12/9/2023,20:00,Mallorca,Sevilla,1,0,H,1,0,H,6,19,3,5,15,6,4,12,2,2,0,0
SP1,12/8/2023,20:00,Getafe,Valencia,1,0,H,0,0,D,8,3,6,0,15,14,7,0,2,4,1,2
SP1,12/4/2023,20:00,Celta,Cadiz,1,1,D,0,1,A,26,2,7,1,14,18,12,1,1,6,0,1
SP1,12/3/2023,13:00,Mallorca,Alaves,0,0,D,0,0,D,7,7,3,4,16,15,5,4,4,2,0,0
SP1,12/3/2023,15:15,Almeria,Betis,0,0,D,0,0,D,20,6,8,2,12,8,4,6,0,3,0,1
SP1,12/3/2023,17:30,Sevilla,Villarreal,1,1,D,0,0,D,18,5,4,4,6,16,8,4,3,2,0,0
SP1,12/3/2023,20:00,Barcelona,Ath Madrid,1,0,H,1,0,H,13,9,2,4,17,12,7,2,5,4,0,0
SP1,12/2/2023,13:00,Girona,Valencia,2,1,H,0,0,D,9,9,5,3,6,7,3,2,2,3,0,0
SP1,12/2/2023,15:15,Ath Bilbao,Vallecano,4,0,H,1,0,H,9,11,4,3,15,11,7,2,1,2,0,0
SP1,12/2/2023,17:30,Real Madrid,Granada,2,0,H,1,0,H,11,1,4,0,10,12,6,0,2,1,0,0
SP1,12/2/2023,20:00,Osasuna,Sociedad,1,1,D,1,1,D,9,17,3,5,12,10,1,8,3,3,0,0
SP1,12/1/2023,20:00,Las Palmas,Getafe,2,0,H,1,0,H,11,12,6,4,11,9,4,4,0,5,0,1
SP1,11/29/2023,20:00,Mallorca,Cadiz,1,1,D,1,1,D,16,6,3,3,14,18,7,0,2,3,0,0
SP1,11/27/2023,20:00,Girona,Ath Bilbao,1,1,D,0,0,D,12,13,2,6,8,16,2,6,1,1,0,0
SP1,11/26/2023,13:00,Villarreal,Osasuna,3,1,H,0,0,D,10,15,3,7,9,14,2,4,0,0,0,0
SP1,11/26/2023,15:15,Sociedad,Sevilla,2,1,H,2,0,H,11,8,8,2,22,8,4,4,2,1,0,2
SP1,11/26/2023,17:30,Cadiz,Real Madrid,0,3,A,0,1,A,13,14,4,5,16,16,4,4,3,3,0,0
SP1,11/26/2023,20:00,Betis,Las Palmas,1,0,H,1,0,H,12,15,6,4,7,12,7,6,1,2,0,0
SP1,11/25/2023,13:00,Vallecano,Barcelona,1,1,D,1,0,H,10,15,4,4,23,13,1,4,3,4,0,0
SP1,11/25/2023,15:15,Valencia,Celta,0,0,D,0,0,D,8,13,0,1,13,7,5,7,3,2,0,0
SP1,11/25/2023,17:30,Getafe,Almeria,2,1,H,2,1,H,18,13,5,4,12,8,3,6,2,4,0,0
SP1,11/25/2023,20:00,Ath Madrid,Mallorca,1,0,H,0,0,D,20,8,3,1,8,19,7,3,0,0,0,0
SP1,11/24/2023,20:00,Alaves,Granada,3,1,H,2,0,H,8,11,5,4,10,13,6,2,1,3,0,0
SP1,11/12/2023,15:15,Barcelona,Alaves,2,1,H,0,1,A,11,8,6,1,11,10,2,1,2,1,0,0
SP1,11/12/2023,17:30,Sevilla,Betis,1,1,D,0,0,D,13,14,4,6,18,14,9,5,1,1,0,0
SP1,11/12/2023,20:00,Ath Madrid,Villarreal,3,1,H,1,1,D,25,11,10,7,8,8,6,3,0,2,0,0
SP1,11/11/2023,13:00,Vallecano,Girona,1,2,A,1,1,D,22,19,9,7,15,13,8,3,1,2,0,0
SP1,11/11/2023,15:15,Almeria,Sociedad,1,3,A,0,0,D,7,18,2,6,18,19,5,5,2,2,0,0
SP1,11/11/2023,17:30,Granada,Getafe,1,1,D,1,1,D,12,10,6,6,14,9,3,5,4,2,0,0
SP1,11/11/2023,17:30,Osasuna,Las Palmas,1,1,D,0,0,D,11,6,3,1,25,10,8,3,1,1,0,0
SP1,11/11/2023,20:00,Real Madrid,Valencia,5,1,H,2,0,H,16,10,7,4,7,26,4,4,1,3,0,0
SP1,11/10/2023,20:00,Ath Bilbao,Celta,4,3,H,2,2,D,21,13,12,5,15,13,7,2,2,2,0,0
SP1,11/6/2023,20:00,Getafe,Cadiz,1,0,H,0,0,D,13,6,3,2,18,12,6,3,7,1,1,0
SP1,11/5/2023,13:00,Alaves,Almeria,1,0,H,0,0,D,23,9,3,3,13,14,12,6,2,3,0,0
SP1,11/5/2023,15:15,Valencia,Granada,1,0,H,1,0,H,11,6,2,1,20,15,0,4,3,5,0,0
SP1,11/5/2023,17:30,Villarreal,Ath Bilbao,2,3,A,0,3,A,17,17,6,7,11,18,9,3,4,4,0,0
SP1,11/5/2023,20:00,Real Madrid,Vallecano,0,0,D,0,0,D,22,4,5,0,12,15,11,1,3,5,0,0
SP1,11/4/2023,13:00,Osasuna,Girona,2,4,A,1,1,D,15,11,3,4,14,10,2,7,5,3,0,0
SP1,11/4/2023,15:15,Betis,Mallorca,2,0,H,1,0,H,22,8,3,1,13,16,6,1,1,4,0,1
SP1,11/4/2023,17:30,Celta,Sevilla,1,1,D,1,0,H,15,13,3,5,14,10,4,6,2,5,1,0
SP1,11/4/2023,20:00,Sociedad,Barcelona,0,1,A,0,0,D,13,12,6,4,16,8,8,3,3,3,0,0
SP1,11/3/2023,20:00,Las Palmas,Ath Madrid,2,1,H,0,0,D,9,13,3,5,12,9,3,4,0,3,0,0
SP1,10/30/2023,20:00,Granada,Villarreal,2,3,A,2,3,A,18,6,8,5,14,15,4,1,0,4,0,0
SP1,10/29/2023,13:00,Betis,Osasuna,2,1,H,1,0,H,9,7,2,1,10,25,6,3,3,4,0,0
SP1,10/29/2023,15:15,Vallecano,Sociedad,2,2,D,1,1,D,16,15,7,3,17,16,4,5,3,2,0,0
SP1,10/29/2023,17:30,Ath Bilbao,Valencia,2,2,D,1,0,H,12,11,7,5,11,10,10,4,3,1,0,0
SP1,10/29/2023,20:00,Ath Madrid,Alaves,2,1,H,2,0,H,11,8,7,1,10,11,4,4,3,2,0,0
SP1,10/28/2023,13:00,Almeria,Las Palmas,1,2,A,0,1,A,10,10,4,3,13,19,3,2,3,1,0,0
SP1,10/28/2023,15:15,Barcelona,Real Madrid,1,2,A,1,0,H,15,13,3,4,15,15,6,3,2,1,0,0
SP1,10/28/2023,17:30,Mallorca,Getafe,0,0,D,0,0,D,15,8,4,0,10,25,8,3,0,1,0,0
SP1,10/28/2023,20:00,Cadiz,Sevilla,2,2,D,2,1,H,10,20,5,10,17,12,2,4,6,4,0,0
SP1,10/27/2023,20:00,Girona,Celta,1,0,H,0,0,D,12,4,2,2,15,12,10,1,3,2,0,0
